open,high,low,close,tick_volume,date,time_only,noisy_day
3429.98,3439.45,3427.42,3434.15,14192,2025-06-13,20:00:00,False
3434.04,3451.23,3434.04,3436.66,11578,2025-06-16,00:00:00,False
3436.28,3446.32,3426.88,3427.54,13979,2025-06-16,04:00:00,False
3427.54,3430.38,3409.52,3413.85,16200,2025-06-16,08:00:00,False
3413.63,3422.56,3410.64,3415.61,14872,2025-06-16,12:00:00,False
3415.67,3417.99,3382.76,3399.41,17448,2025-06-16,16:00:00,False
3399.36,3400.25,3382.84,3385.14,11968,2025-06-16,20:00:00,False
3386.26,3403.24,3385.86,3394.36,10462,2025-06-17,00:00:00,False
3394.24,3402.46,3373.18,3394.06,15904,2025-06-17,04:00:00,False
3394.05,3395.43,3377.84,3378.91,16030,2025-06-17,08:00:00,False
3378.69,3400.08,3375.76,3386.7,17789,2025-06-17,12:00:00,False
3386.76,3397.45,3366.15,3382.9,20082,2025-06-17,16:00:00,False
3382.96,3392.3,3381.46,3388.47,13670,2025-06-17,20:00:00,False
3390.46,3396.07,3383.0,3385.74,7710,2025-06-18,00:00:00,False
3385.76,3400.01,3370.62,3395.12,14360,2025-06-18,04:00:00,False
3395.28,3395.65,3377.1,3383.55,15102,2025-06-18,08:00:00,False
3383.53,3389.84,3375.53,3386.63,15184,2025-06-18,12:00:00,False
3386.58,3396.77,3373.87,3391.0,17613,2025-06-18,16:00:00,False
3390.94,3395.73,3362.56,3369.15,16544,2025-06-18,20:00:00,False
3369.58,3383.28,3367.76,3379.45,7939,2025-06-19,00:00:00,False
3379.5,3387.93,3369.73,3374.51,11612,2025-06-19,04:00:00,False
3374.47,3375.28,3347.65,3368.68,15843,2025-06-19,08:00:00,False
3368.58,3379.0,3363.72,3367.97,14013,2025-06-19,12:00:00,False
3367.55,3372.84,3361.57,3371.08,13415,2025-06-19,16:00:00,False
3371.04,3375.45,3365.95,3370.63,3470,2025-06-19,20:00:00,False
3370.12,3370.4,3362.07,3368.14,7512,2025-06-20,00:00:00,False
3368.12,3368.3,3344.88,3354.3,13454,2025-06-20,04:00:00,False
3354.32,3355.29,3340.37,3351.0,13881,2025-06-20,08:00:00,False
3350.86,3359.2,3341.97,3344.48,13320,2025-06-20,12:00:00,False
3344.62,3374.51,3343.05,3371.48,15589,2025-06-20,16:00:00,False
3371.49,3371.74,3364.62,3368.64,9594,2025-06-20,20:00:00,False
3392.44,3396.7,3358.24,3365.72,11842,2025-06-23,00:00:00,False
3366.01,3368.06,3352.05,3358.49,13513,2025-06-23,04:00:00,False
3358.48,3362.25,3347.12,3361.83,14328,2025-06-23,08:00:00,False
3361.85,3381.99,3355.88,3360.44,14855,2025-06-23,12:00:00,False
3360.18,3393.53,3359.85,3389.82,18075,2025-06-23,16:00:00,False
3389.71,3391.39,3367.3,3369.04,13275,2025-06-23,20:00:00,False
3368.43,3369.94,3333.3,3351.08,11948,2025-06-24,00:00:00,False
3351.12,3357.92,3342.26,3348.55,13608,2025-06-24,04:00:00,False
3348.52,3348.72,3316.06,3327.27,17474,2025-06-24,08:00:00,False
3327.24,3328.87,3304.62,3314.77,15447,2025-06-24,12:00:00,False
3314.67,3320.45,3295.5,3318.43,18768,2025-06-24,16:00:00,False
3318.5,3325.17,3315.72,3322.81,10985,2025-06-24,20:00:00,False
