candle_size,noisy_day,percentage,day_of_week,session,highest_of_day,highest_of_week,volume,success
2.28,False,0.0009377853458700426,4,New York,False,False,2390,False
5.24,False,0.002153356812045648,0,Sydney,True,True,2751,True
7.73,False,0.0031267317361248752,4,London,True,False,8114,True
21.06,False,0.00845012779514258,4,London,True,True,12440,False
14.01,False,0.005570288613312234,1,Tokyo,True,True,8695,False
2.64,False,0.0010613065326633166,4,Sydney,True,False,1766,True
8.35,False,0.003337050047757782,3,Tokyo,True,False,7043,True
1.99,False,0.0007907085781947209,3,New York,False,False,1849,False
9.55,False,0.0037988177919918535,1,London,True,True,9103,False
2.46,False,0.0009766865709566765,2,Sydney,True,True,2496,False
3.88,False,0.0015421426243451856,3,Sydney,True,False,5411,True
4.47,False,0.0017299096344743513,0,London,False,False,6824,False
10.59,False,0.004113499970867564,3,Tokyo,True,False,10092,True
9.59,False,0.003710524890309301,3,Tokyo,True,False,11196,False
2.43,False,0.0009244746092858339,0,New York,False,False,1930,False
10.8,False,0.004044353072023188,2,Sydney,True,True,9858,False
4.76,False,0.001787833716440558,3,Sydney,True,False,6088,True
5.35,False,0.0020008452168579624,4,Sydney,True,False,7727,False
6.04,False,0.0022884595711790494,0,London,False,False,8990,False
6.02,False,0.002267069868683179,2,Tokyo,False,False,9685,False
5.25,False,0.001974560143221429,2,New York,False,False,5192,False
6.24,False,0.002346482156958598,4,London,True,False,4351,False
7.7,False,0.0029065268514009836,1,Tokyo,False,False,4302,True
7.9,False,0.0029609750978246206,2,Sydney,True,False,5137,True
3.87,False,0.0014451190822933704,3,Sydney,True,False,2781,True
8.4,False,0.0030594628457375128,1,London,True,True,4083,False
5.1,False,0.0018561991592509687,4,New York,True,False,1620,False
6.73,False,0.002445174323126335,1,Sydney,True,True,5219,False
5.03,False,0.0018291640756539355,4,Sydney,True,False,5297,True
11.48,False,0.004183612483783035,0,Tokyo,False,False,4716,False
8.24,False,0.003011750945740968,1,Sydney,False,False,4019,True
5.25,False,0.0019704766301471663,3,New York,True,False,2203,False
8.14,False,0.0030629715339316288,3,Sydney,False,False,5333,True
4.8,False,0.0018292055531631917,1,New York,True,False,1329,False
8.31,False,0.0031632921077574885,1,Tokyo,True,True,5162,True
10.53,False,0.0039896488881648,1,London,True,True,4827,False
7.0,False,0.002632746857628572,3,Sydney,True,True,2902,False
9.11,False,0.003391142826299783,4,Sydney,True,True,4615,True
9.67,False,0.0035610384827840175,4,New York,True,True,1962,False
29.61,True,0.01088078903175309,0,New York,True,True,4084,False
7.97,True,0.0030347684703929205,0,New York,False,False,3664,False
14.18,False,0.005397668876995576,1,Tokyo,False,False,4752,True
8.47,False,0.003226162770767233,4,Sydney,False,False,4669,True
8.09,False,0.003051505950248005,0,Tokyo,True,True,4305,True
3.06,False,0.001156283417913324,1,New York,False,False,1023,False
14.19,False,0.005449559887552421,4,Sydney,True,False,4990,False
14.86,False,0.005647656184677597,4,London,True,False,6025,False
7.74,False,0.002942809128031208,3,London,False,False,4395,True
6.28,False,0.0023955202245990936,4,New York,False,False,1289,True
5.78,False,0.002218299048203869,0,London,False,False,3604,True
6.73,False,0.002574489979381128,1,Tokyo,True,False,3045,False
8.51,False,0.0031989715175003665,2,London,True,False,5466,False
8.69,False,0.003258391576926538,3,Tokyo,True,False,2941,True
6.6,False,0.0024408013224705345,0,Sydney,True,True,2956,True
13.02,False,0.004691300196371629,4,Sydney,True,True,5128,False
3.87,False,0.0014111006585136407,1,Sydney,False,False,2963,False
20.35,False,0.007189796495195026,0,London,True,True,5795,False
7.05,False,0.0024282880052905677,0,Tokyo,True,True,4157,True
5.84,False,0.0020005138306071766,3,London,False,False,4048,True
5.97,False,0.0020297699594046007,3,Sydney,True,False,2010,False
5.91,False,0.0020001150658413513,3,Tokyo,True,True,3751,False
6.56,False,0.002239190614514461,4,Tokyo,False,False,3452,False
10.54,False,0.003575026371755256,0,Tokyo,False,False,3430,False
8.26,False,0.0027957163938643163,0,London,True,True,4685,False
7.16,False,0.0024323709161817213,0,London,False,False,4929,True
4.61,False,0.0015965755013974366,3,New York,False,False,3774,False
18.1,False,0.006349384530654197,4,London,False,False,6242,True
14.07,False,0.004849834374881512,1,Tokyo,True,True,3700,True
5.4,False,0.0018515280249339107,1,New York,False,False,3970,False
8.72,False,0.002987590535642093,2,Sydney,True,False,3157,False
9.87,False,0.0033914262545184652,1,Tokyo,True,False,3108,True
8.12,False,0.0027787473735361953,2,Tokyo,True,True,3974,False
21.38,False,0.0071959637980418085,3,London,True,True,4838,False
8.98,False,0.003000394261161266,4,Sydney,True,True,3035,False
10.92,False,0.0036071747101377462,1,Tokyo,True,True,3837,True
4.76,False,0.0015690049014922026,2,Sydney,False,False,2841,False
19.42,False,0.006370659537126643,2,New York,True,True,4675,False
5.0,False,0.0016391131742082264,3,Sydney,False,False,2999,False
7.08,False,0.002337451385633258,0,Tokyo,True,True,3950,False
11.21,False,0.0037095744082384988,1,Tokyo,True,False,3823,True
11.95,False,0.0038874051326759983,4,Sydney,True,True,3861,True
8.17,False,0.002648401234407821,4,Tokyo,True,True,3697,False
13.19,False,0.00424518433884231,0,Sydney,True,True,4162,True
7.61,False,0.0024329344514388202,1,Sydney,True,False,2607,True
5.26,False,0.0016864433678851166,1,New York,False,False,2688,False
16.73,True,0.005511211840705224,0,Sydney,False,False,3441,False
26.08,True,0.008576098072679799,2,Tokyo,True,False,4481,True
30.45,True,0.009893237509178454,2,London,True,True,5022,False
26.31,True,0.008431854527274534,3,Sydney,True,True,4359,False
38.06,True,0.012063888527894969,3,London,True,True,4757,True
10.6,False,0.003303971623247492,0,London,False,False,4761,True
5.17,False,0.0016091131203411196,0,New York,False,False,4182,False
9.27,True,0.002808571748858544,2,Tokyo,True,True,4787,False
22.99,True,0.006820986921744083,0,Sydney,True,True,4542,True
9.86,True,0.002912162561285368,0,Tokyo,True,True,4153,True
19.32,True,0.005818383320634481,2,Tokyo,False,False,4452,False
14.64,True,0.004410727950879435,4,New York,False,False,2430,False
15.87,True,0.004737511418387633,0,New York,True,True,4637,False
17.75,False,0.005330442381671687,1,London,False,False,4148,False
19.82,True,0.0060373450303085685,0,Tokyo,True,True,4120,True
26.72,True,0.008075117938427226,0,Tokyo,True,True,4588,False
52.18,True,0.015429789725498777,1,Sydney,True,True,5084,False
