candle_size,noisy_day,percentage,day_of_week,session,lowest_of_day,lowest_of_week,volume,success
6.5,False,0.003363727631211252,1,Sydney,True,True,854,False
9.7,False,0.005021977623724443,1,Tokyo,True,True,1315,False
4.44,False,0.002304853169432664,1,New York,False,False,679,True
2.74,False,0.0014258950874271442,1,New York,False,False,698,True
2.73,False,0.0014217935430782612,2,New York,True,False,156,False
2.26,False,0.0011772611488193529,2,Tokyo,False,False,658,True
6.21,False,0.0032292955871493795,2,London,False,False,1504,True
2.59,False,0.0013378375586272442,3,Sydney,False,False,481,True
3.53,False,0.0018247797857822256,3,Tokyo,False,False,688,False
2.25,False,0.001166129383350782,4,New York,False,False,666,True
1.74,False,0.000902386657124187,0,Sydney,False,False,720,True
2.88,False,0.0014917564914716074,0,London,False,False,2010,False
2.71,False,0.0014000898950707536,1,Sydney,True,False,542,True
3.13,False,0.0016191944378343144,1,Sydney,True,False,560,False
3.13,False,0.0016229641651586408,1,Tokyo,False,False,1191,False
3.53,False,0.0018369630265657115,2,Tokyo,False,False,553,False
2.23,False,0.0011482711567673335,3,Sydney,True,False,809,False
2.34,False,0.0012054958245539924,3,Sydney,True,False,381,False
3.02,False,0.0015519731128366676,3,Tokyo,False,False,991,False
1.99,False,0.0010163639706633435,4,Tokyo,False,False,655,False
6.31,False,0.003223861685604512,4,Tokyo,True,False,1376,False
5.62,False,0.0028720653318206443,4,London,False,False,2015,False
6.1,False,0.003115964978596896,0,Sydney,True,True,2273,True
1.82,False,0.0009456117380551572,1,Tokyo,False,False,1221,True
3.65,False,0.0018982042467769532,2,Tokyo,False,False,1186,False
3.65,False,0.0018853208402849159,2,London,False,False,1111,False
2.77,False,0.0014316503258684225,2,New York,False,False,903,False
3.23,False,0.0016728903712987949,3,Sydney,True,False,992,True
2.9,False,0.0014886834391667479,3,New York,False,False,1051,True
2.82,False,0.0014528892918967932,3,New York,False,False,1152,True
4.15,False,0.002148589179394253,4,Tokyo,True,False,1414,False
3.24,False,0.00167973124300112,4,London,False,False,1296,True
1.95,False,0.0010126503396273446,0,Sydney,False,False,595,True
7.52,False,0.003890688217216295,0,London,False,False,3206,False
0.88,False,0.00045635579156986394,1,Sydney,True,False,487,False
1.24,False,0.0006408103149789412,3,New York,False,False,726,True
3.51,False,0.001815717596424433,3,New York,False,False,799,False
3.19,False,0.0016394285126940075,0,Sydney,True,True,1211,False
3.13,False,0.0016048237001184391,0,London,False,False,1346,True
6.7,False,0.0034402374277293407,0,London,False,False,1872,False
4.23,False,0.0021421300774306594,1,London,False,False,1544,False
2.16,False,0.0010954346745646155,2,Sydney,False,False,837,False
3.07,False,0.0015514139596935579,2,New York,False,False,1008,False
2.53,False,0.001279930387975737,3,Sydney,True,False,872,False
3.05,False,0.0015447574477568094,3,Tokyo,False,False,940,False
1.83,False,0.0009278319153898416,3,New York,False,False,648,False
2.38,False,0.0011989864030911683,0,Sydney,False,False,990,False
2.75,False,0.0013804112119508473,0,Tokyo,False,False,867,False
4.37,False,0.0022036428182423302,0,New York,False,False,2037,False
1.85,False,0.0009350659853321001,0,New York,False,False,894,False
3.23,False,0.0016323106544908757,1,Tokyo,False,False,1508,False
2.58,False,0.0013183578779548078,1,New York,False,False,981,True
3.77,False,0.0019374168118444517,2,Tokyo,False,False,1095,False
2.63,False,0.0013432690981710087,2,New York,False,False,668,False
1.96,False,0.0010042372664251715,3,Tokyo,False,False,1280,True
4.22,False,0.0021707148956307933,3,London,True,False,1462,False
1.9,False,0.0009728722260340607,3,New York,False,False,1222,False
2.23,False,0.0011438654444917494,4,Sydney,True,False,1221,False
2.98,False,0.0015703385186122002,0,New York,False,False,1577,False
2.23,False,0.0011705668062948148,1,Sydney,False,False,1503,False
6.45,False,0.003375885188500008,1,London,False,False,3038,False
2.66,False,0.0013971175259464683,2,Sydney,True,False,1180,False
6.78,False,0.003563338606513867,2,London,False,False,2227,True
2.31,False,0.0012234456678901124,2,New York,False,False,1302,False
3.41,False,0.0018108726706920085,3,Sydney,True,True,1748,True
2.82,False,0.0014930588646399185,3,London,False,False,1412,False
0.6,False,0.0003168701677299421,4,New York,True,False,145,False
5.45,False,0.0028560947489780944,4,New York,False,False,2107,True
2.36,False,0.001247152950626483,0,Sydney,False,False,983,True
2.91,False,0.0015432507968159183,0,Tokyo,True,True,1084,False
3.28,False,0.00173780358580935,0,Tokyo,False,False,1437,True
9.34,False,0.004983326663998933,0,London,True,True,3146,True
3.34,False,0.0017891866700236237,1,Sydney,False,False,841,True
5.84,False,0.0031408994589477985,1,Tokyo,True,True,2604,False
4.19,False,0.0022391449565798264,1,New York,False,False,1009,False
3.19,False,0.0017094566714359973,2,Sydney,True,False,948,False
2.08,False,0.00111495867148386,2,Sydney,False,False,356,False
2.29,False,0.0012154731322052612,2,New York,False,False,206,False
2.0,False,0.0010517680220450579,3,Sydney,False,False,1064,False
2.79,False,0.0014698289940890748,3,Tokyo,False,False,969,False
4.14,False,0.0021791079342688407,3,London,False,False,1875,False
3.79,False,0.002025513994217398,4,Sydney,True,False,2290,False
0.98,False,0.0005221681701202585,4,Sydney,False,False,707,False
8.92,False,0.0047321205948042165,4,London,False,False,3661,False
5.18,False,0.002737409501664641,4,London,False,False,2038,True
5.19,False,0.002747572712738361,4,New York,False,False,1272,False
3.4,False,0.0018042974118945652,0,New York,True,True,525,False
4.94,False,0.002652334752565087,1,Tokyo,False,False,1674,False
2.78,False,0.0014920967179239458,1,London,False,False,1241,False
4.51,False,0.0024376138408902966,1,London,False,False,3043,True
2.5,False,0.0013574414942715968,1,New York,True,True,1271,True
2.57,False,0.0013884911909148373,2,Tokyo,False,False,645,False
3.76,False,0.0020244985866200026,3,Sydney,False,False,1559,False
3.03,False,0.0016350538272670856,3,Sydney,True,False,986,False
1.27,False,0.0006965927291077031,3,New York,False,False,395,False
