candle_size,noisy_day,percentage,day_of_week,session,highest_of_day,highest_of_week,volume,success
4.29,False,0.0023802918493036674,2,London,False,False,5486,False
3.56,False,0.0019831101406002807,3,London,True,False,2901,False
3.0,False,0.0016727443043056437,4,Tokyo,True,False,1678,False
2.46,False,0.0013686588256239638,4,London,False,False,2065,True
3.43,False,0.0019237024823053023,0,London,False,False,2081,False
3.7,False,0.0020812005714864273,1,Tokyo,False,False,1833,False
2.73,False,0.0015322358857502063,2,Tokyo,True,False,2024,False
1.79,False,0.0010147737451387236,3,Sydney,True,False,685,False
3.59,False,0.0020293033667216857,3,Tokyo,True,False,2103,False
3.54,False,0.0020070985519407623,3,Tokyo,True,False,3625,False
1.12,False,0.0006368521308958577,3,New York,False,False,446,False
2.37,False,0.0013485217470469082,4,Sydney,False,False,840,False
3.37,False,0.001975253647185703,3,Tokyo,False,False,1275,False
2.63,False,0.0015492003652107322,3,New York,False,False,529,False
2.24,False,0.0013182363880322968,4,Sydney,True,False,955,False
1.76,False,0.001036055923473142,4,Sydney,False,False,1647,True
2.69,False,0.001580772169007463,4,Tokyo,True,False,1788,True
1.75,False,0.00102511832794414,4,Tokyo,True,False,1906,False
3.39,False,0.0019773912434816084,4,New York,False,False,2555,False
1.46,False,0.000852738985941488,0,London,False,False,672,False
3.92,False,0.0022823739017531195,1,Sydney,True,False,2028,True
2.3,False,0.001347282589594292,2,Tokyo,True,False,2450,False
3.96,False,0.0023090379008746356,2,London,True,False,3240,True
3.31,False,0.0019258517966859057,3,Sydney,True,False,2631,False
3.69,False,0.002158437501827945,3,New York,False,False,2405,False
3.6,False,0.0020926704218474793,4,London,False,False,2425,False
6.25,False,0.003631989400402134,0,Tokyo,True,False,2486,True
2.14,False,0.0012399758957956706,0,Tokyo,False,False,2802,False
3.26,False,0.0018861047308829399,1,Tokyo,True,False,2334,False
3.64,False,0.002136752136752137,2,Sydney,True,False,1776,False
4.55,False,0.0026663541269887777,2,London,False,False,5226,False
2.96,False,0.0017775749313892108,4,Sydney,True,False,1643,False
12.4,False,0.007392437059956241,4,London,True,False,8303,False
3.66,False,0.00218491809542003,4,New York,False,False,1905,True
2.07,False,0.0012357102349043368,4,New York,False,False,594,False
3.11,False,0.0018605040709743419,0,Sydney,False,False,1777,False
2.54,False,0.0015275255289207493,0,Tokyo,False,False,2318,True
